fips,county_name,state_fips,state_name,isolation_risk,auc_normalized,baseline_isolation_risk,reachable_nodes,sp_edges_total,sp_edges_removed,subgraph_nodes,subgraph_edges,directional_coverage,directional_asymmetry,graph_nodes,graph_edges,radius_meters,mc_runs,notes
01001,Autauga County,01,Alabama,0.27161034470949097,0.12508924092822546,2.951832058266213e-06,13908,13850,1385,13936,33840,1.0,0.14803609521454777,148794,299458,30000,15,
01009,Blount County,01,Alabama,0.547606459748126,0.227186184739971,1.8396864002455435e-05,29917,29830,2983,30050,67389,1.0,0.14413128880291953,315470,635164,30000,15,
01017,Chambers County,01,Alabama,0.27821751857844784,0.09161311307909274,0.0,12435,12393,1240,12525,31048,1.0,0.15227754835187418,127741,258215,30000,15,
01021,Chilton County,01,Alabama,0.3111237943779598,0.13511067296873694,0.0,14406,14352,1436,14520,33590,1.0,0.17917365062107216,219683,442966,30000,15,
01033,Colbert County,01,Alabama,0.5797132092288046,0.2471009728446694,4.68064780827504e-08,20697,20657,2066,20768,54222,0.0,0.0,154072,313250,30000,15,
01045,Dale County,01,Alabama,0.23372084957181313,0.08787782710845249,4.2083509775103775e-07,26977,26921,2693,26997,67664,1.0,0.18589931729000508,175919,357972,30000,15,
01051,Elmore County,01,Alabama,0.2138845961883345,0.08896939125773475,1.5476999565855463e-06,32189,32121,3213,32281,81199,1.0,0.1834147173979246,239662,482125,30000,15,
01065,Hale County,01,Alabama,0.43505617143930997,0.22982114357400732,0.0,6590,6555,656,6606,15422,1.0,0.1535678453267486,115314,231427,30000,15,
01079,Lawrence County,01,Alabama,0.11557100269937187,0.05131251895857798,3.687668035414759e-07,12837,12795,1280,12895,31575,1.0,0.1483649210256358,144047,290038,30000,15,
01083,Limestone County,01,Alabama,0.24728403638533933,0.0953882895587972,3.519684295127945e-10,49392,49357,4936,49589,123076,1.0,0.16702667683734584,217403,442646,30000,15,
