source_fips,target_fips,baseline_minutes,shared_border_edges,k_used,auc_inflation,auc_disconnection,worst_case_minutes,worst_case_disconnected_frac,restored_minutes,states,is_cross_state
01111,01123,84.051,2,2,0.0000,0.0000,84.051,0.0000,84.051,01,False
01045,01109,19.802,8,8,-0.0000,0.0000,19.802,0.0000,19.802,01,False
01091,01047,69.797,2,2,0.0000,0.0000,69.797,0.0000,69.797,01,False
01013,01039,69.489,16,16,-0.0000,0.0000,69.489,0.0000,69.489,01,False
01031,01041,48.925,30,20,0.0000,0.0000,48.925,0.0000,48.925,01,False
01059,01133,62.830,14,14,0.0437,0.0000,95.599,0.0000,62.830,01,False
01025,01023,77.108,28,20,0.0000,0.0000,77.108,0.0000,77.108,01,False
01003,01025,135.541,8,8,0.0000,0.0000,135.541,0.0000,135.541,01,False
01041,01085,68.550,8,8,0.0587,0.0000,85.050,0.0000,68.550,01,False
01091,01063,28.230,2,2,0.9080,0.0000,105.128,0.0000,28.230,01,False
01121,01029,67.154,4,4,0.0000,0.0000,67.154,0.0000,67.154,01,False
01107,01057,54.605,8,8,0.1344,0.0000,115.826,0.0000,54.605,01,False
01001,01085,59.074,26,20,0.0000,0.0000,59.074,0.0000,59.074,01,False
01019,01015,69.115,28,20,0.0107,0.0000,70.996,0.0000,69.115,01,False
01041,01109,31.046,40,20,0.1278,0.0000,38.881,0.0000,31.046,01,False
01029,01111,6.342,62,20,0.0461,0.0000,8.270,0.0000,6.342,01,False
01041,01013,45.676,58,20,0.0726,0.0000,53.079,0.0000,45.676,01,False
01027,01121,64.640,96,20,0.0057,0.0000,65.359,0.0000,64.640,01,False
01129,01025,60.087,18,18,0.1735,0.0000,180.710,0.0000,60.087,01,False
01131,01013,103.401,18,18,0.0317,0.0000,118.570,0.0000,103.401,01,False
01133,01093,41.996,62,20,0.0584,0.0000,45.873,0.0000,41.996,01,False
01087,01123,76.055,44,20,0.0175,0.0000,79.714,0.0000,76.055,01,False
01085,01013,16.259,44,20,0.3804,0.0000,30.170,0.0000,16.259,01,False
01031,01061,71.286,64,20,0.0175,0.0000,74.784,0.0000,71.286,01,False
01013,01035,30.159,50,20,0.1117,0.0000,38.931,0.0000,30.159,01,False
01079,01133,69.257,28,20,0.0588,0.0000,84.002,0.0000,69.257,01,False
01085,01101,13.005,86,20,0.0318,0.0000,14.271,0.0000,13.005,01,False
01011,01109,47.238,60,20,0.0197,0.0000,51.045,0.0000,47.238,01,False
01037,01123,24.118,78,20,0.0002,0.0000,24.139,0.0000,24.118,01,False
01065,01007,74.023,16,16,0.0206,0.0000,80.112,0.0000,74.023,01,False
01041,01039,54.680,28,20,0.0521,0.0000,84.098,0.0000,54.680,01,False
01071,01095,29.402,54,20,0.0314,0.0000,32.811,0.0000,29.402,01,False
01025,01099,58.884,60,20,0.0896,0.0000,71.890,0.0000,58.884,01,False
01019,01029,78.253,14,14,0.0000,0.0000,78.253,0.0000,78.253,01,False
01105,01091,34.929,22,20,0.1672,0.0000,116.790,0.0000,34.929,01,False
01131,01099,103.811,94,20,0.0000,0.0000,103.811,0.0000,103.811,01,False
01039,01061,43.669,32,20,0.0674,0.0000,63.076,0.0000,43.669,01,False
01107,01063,89.845,30,20,0.0205,0.0000,107.872,0.0000,89.845,01,False
01059,01093,53.604,76,20,0.0034,0.0000,54.013,0.0000,53.604,01,False
01107,01119,106.866,6,6,0.0830,0.0000,143.510,0.0000,106.866,01,False
01057,01127,71.338,44,20,0.0035,0.0000,72.443,0.0000,71.338,01,False
01077,01033,41.177,52,20,0.0088,0.0000,42.035,0.0000,41.177,01,False
01019,01055,25.515,32,20,0.1635,0.0000,42.055,0.0000,25.515,01,False
01099,01053,54.830,14,14,0.0000,0.0000,54.830,0.0000,54.830,01,False
01103,01089,26.255,50,20,0.0000,0.0000,26.255,0.0000,26.255,01,False
01091,01119,51.463,10,10,0.1142,0.0000,81.895,0.0000,51.271,01,False
01037,01117,60.189,12,12,-0.0000,0.0000,60.189,0.0000,60.189,01,False
01049,01055,24.739,54,20,0.0624,0.0000,28.448,0.0000,24.739,01,False
01113,01011,85.398,6,6,0.1463,0.0000,131.415,0.0000,85.398,01,False
01101,01051,16.282,33,20,0.0462,0.0000,19.801,0.0000,15.407,01,False
01075,01107,84.478,26,20,0.0000,0.0000,84.478,0.0000,84.478,01,False
01011,01087,52.749,26,20,-0.0000,0.0000,52.749,0.0000,52.749,01,False
